Geographic Region,Subfamily,Tribe,Division,Genus,Species,Genus species,Extinct/TAXONOMY,Notes Specimen Taxonomy,Exome
SAHUL,Murinae,Hydromyini,Pogonomys,Pogonomys,macrourus,Pogonomys macrourus,,,1
SAHUL,Murinae,Hydromyini,Pogonomys,Pogonomys,mollipilosus,Pogonomys mollipilosus,,,
SAHUL,Murinae,Hydromyini,Uromys,Protochromys,fellowsi,Protochromys fellowsi,,,
SAHUL,Murinae,Hydromyini,Hydromys,Pseudohydromys,germani,Pseudohydromys germani,,,
SAHUL,Murinae,Hydromyini,Hydromys,Pseudohydromys,musseri,Pseudohydromys musseri,,,
SAHUL,Murinae,Hydromyini,Hydromys,Pseudohydromys,pumehanae,Pseudohydromys pumehanae,,Specimen ID confirmed by K. Helgen,1
SAHUL,Murinae,Hydromyini,Hydromys,Pseudohydromys,sandrae,Pseudohydromys sandrae,,,
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,albocinereus,Pseudomys albocinereus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,apodemoides,Pseudomys apodemoides,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,australis,Pseudomys australis,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,bolami,Pseudomys bolami,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,calabyi,Pseudomys calabyi,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,chapmani,Pseudomys chapmani,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,delicatulus,Pseudomys delicatulus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,desertor,Pseudomys desertor,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,fieldi,Pseudomys fieldi,,,
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,fumeus,Pseudomys fumeus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,gracilicaudatus,Pseudomys gracilicaudatus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,hermannsburgensis,Pseudomys hermannsburgensis,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,higginsi,Pseudomys higginsi,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,johnsoni,Pseudomys johnsoni,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,nanus,Pseudomys nanus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,novaehollandiae,Pseudomys novaehollandiae,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,occidentalis,Pseudomys occidentalis,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,oralis,Pseudomys oralis,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,patrius,Pseudomys patrius,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,shortridgei,Pseudomys shortridgei,,,1
SAHUL,Murinae,Rattini,Rattus,Rattus,arrogans,Rattus arrogans,,Holotype of R. niobe arrogans,
SAHUL,Murinae,Rattini,Rattus,Rattus,colletti,Rattus colletti,,,1
SAHUL,Murinae,Rattini,Rattus,Rattus,detentus,Rattus detentus,,,
WALLACEA,Murinae,Rattini,Rattus,Rattus,facetus,Rattus facetus,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,fuscipes,Rattus fuscipes,,"assimilis, coracius",
SAHUL,Murinae,Rattini,Rattus,Rattus,giluwensis,Rattus giluwensis,,NHM_52_263 from R. giluwe,
SAHUL,Murinae,Rattini,Rattus,Rattus,leucopus,Rattus leucopus,,"cooktownensis, ringens  Rattus_leucopus_(sp)_NHM_69_355 listed as a specimen of R.verecundus verecundus  in Taylor et al 1982 Rattus_leucopus_(verecundus)_NHM_69_354 listed as a specimen of R.verecundus mollis in Taylor et al 1982",1
SAHUL,Murinae,Rattini,Rattus,Rattus,lutreolus,Rattus lutreolus,,,1
SAHUL,Murinae,Rattini,Rattus,Rattus,mordax,Rattus mordax,,Real mordax according to Taylor and Horner,
SAHUL,Murinae,Rattini,Rattus,Rattus,morotaiensis,Rattus morotaiensis,,,1
SAHUL,Murinae,Rattini,Rattus,Rattus,niobe,Rattus niobe,,,
ASIA,Murinae,Rattini,Rattus,Rattus,nitidus,Rattus nitidus,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,praetor,Rattus praetor,,Samples not monophyletic,1
ASIA,Murinae,Rattini,Rattus,Rattus,rattus,Rattus rattus,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,richardsoni,Rattus richardsoni,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,sordidus,Rattus sordidus,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,steini,Rattus steini,,Real steini?,
SAHUL,Murinae,Rattini,Rattus,Rattus,tunneyi,Rattus tunneyi,,,1
SAHUL,Murinae,Rattini,Rattus,Rattus,vandeuseni,Rattus vandeuseni,,Real vandeuseni?,
SAHUL,Murinae,Rattini,Rattus,Rattus,verecundus,Rattus verecundus,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,villosissimus,Rattus villosissimus,,,1
WALLACEA,Murinae,Rattini,Rattus,Rattus,xanthurus,Rattus xanthurus,,,1
SAHUL,Murinae,Hydromyini,Uromys,Solomys,ponceleti,Solomys ponceleti,,,
SAHUL,Murinae,Hydromyini,Uromys,Solomys,salamonis,Solomys salamonis,,,
SAHUL,Murinae,Hydromyini,Uromys,Solomys,salebrosus,Solomys salebrosus,,,1
SAHUL,Murinae,Hydromyini,Uromys,Uromys,anak,Uromys anak,,,
SAHUL,Murinae,Hydromyini,Uromys,Uromys,caudimaculatus,Uromys caudimaculatus,,"aruensis, scaphax, nero. U.c. Cape York and Raja Ampats",1
SAHUL,Murinae,Hydromyini,Uromys,Uromys,emmae,Uromys emmae,,real taxon (not U. caudicmaculatus),
SAHUL,Murinae,Hydromyini,Uromys,Uromys,neobritannicus,Uromys neobritannicus,,,
SAHUL,Murinae,Hydromyini,Uromys,Uromys,siebersi,Uromys siebersi,,real taxon (not U. caudicmaculatus),
SAHUL,Murinae,Hydromyini,Uromys,Uromys,vika,Uromys vika,,sister to U. rex,
SAHUL,Murinae,Hydromyini,Mallomys,Xenuromys,barbatus,Xenuromys barbatus,,,1
SAHUL,Murinae,Hydromyini,Hydromys,Xeromys,myoides,Xeromys myoides,,Aus + NG samples,1
SAHUL,Murinae,Hydromyini,Pseudomys,Zyzomys,argurus,Zyzomys argurus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Zyzomys,maini,Zyzomys maini,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Zyzomys,palatalis,Zyzomys palatalis,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Zyzomys,pedunculatus,Zyzomys pedunculatus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Zyzomys,woodwardi,Zyzomys woodwardi,,,1
WALLACEA,Murinae,Rattini,Bunomys,Bunomys,andrewsi,Bunomys andrewsi,,,1
WALLACEA,Murinae,Rattini,Bunomys,Bunomys,chrysocomus,Bunomys chrysocomus,,,1
WALLACEA,Murinae,Rattini,Bunomys,Bunomys,coelestis,Bunomys coelestis,,,
WALLACEA,Murinae,Rattini,Bunomys,Bunomys,penitus,Bunomys penitus,,,
WALLACEA,Murinae,Rattini,Bunomys,Bunomys,prolatus,Bunomys prolatus,,,
